epoch,train_loss,train_acc,val_loss,val_acc
1,2.588044357299805,0.105,2.4960838554382323,0.1358
2,2.188680553436279,0.2,2.846769739532471,0.1132
3,2.081745548248291,0.29,2.700396646499634,0.1734
4,1.854080047607422,0.41,3.1210484226226805,0.151
5,1.5142009162902832,0.53,2.7888892017364504,0.2168
6,1.4279084300994873,0.705,2.946884512710571,0.2046
7,1.2813107681274414,0.63,2.835521537017822,0.2036
8,1.4071636962890626,0.655,2.695383101844788,0.1922
9,1.528081111907959,0.56,2.9737433570861818,0.2086
10,1.4252626371383668,0.615,2.7035675346374513,0.2192
