epoch,train_loss,train_acc,val_loss,val_acc
1,5.803795497131348,0.0103,4.611087027740479,0.0108
2,4.61366915435791,0.0082,4.600375094604492,0.0094
3,4.596207559204101,0.0124,4.597098094940185,0.015
4,4.590738139343261,0.0144,4.588742559814453,0.0186
5,4.570559629821777,0.0183,4.555842979431152,0.023
6,4.5164487861633305,0.0175,4.4854857551574705,0.0198
7,4.456156663513184,0.0223,4.406810820770263,0.027
8,4.356880886840821,0.0323,4.284970022583008,0.0418
9,4.258724598312378,0.0409,4.209258739471435,0.0508
10,4.16057943572998,0.0517,4.124586393737793,0.0626
11,4.093505856323242,0.0562,4.045278622436523,0.0706
12,3.992461516571045,0.0718,3.9689715423583984,0.0732
13,3.8955380855560304,0.0827,3.896194583129883,0.0822
14,3.824671263122559,0.0924,3.847388052368164,0.0974
15,3.722429305267334,0.1141,3.7827367233276368,0.1162
16,3.632744640350342,0.1287,3.6357229484558107,0.1278
17,3.550661686706543,0.1438,3.5846288497924803,0.1462
18,3.4333717922210694,0.1624,3.462613000488281,0.156
19,3.339670058441162,0.1815,3.429866487121582,0.1744
20,3.2584717445373537,0.1961,3.407945100402832,0.1706
21,3.1520215232849123,0.213,3.3879571830749513,0.1826
22,3.0457000022888185,0.2313,3.3429908905029295,0.1852
23,2.9467844741821287,0.2505,3.3057459381103516,0.207
24,2.83608469581604,0.2735,3.1890641677856446,0.2244
25,2.725606260681152,0.2956,3.2590643783569337,0.217
26,2.616652638244629,0.3227,3.206295774841309,0.232
27,2.488697868347168,0.3478,3.255214796447754,0.2312
28,2.3606003452301025,0.3744,3.2696495811462403,0.2364
29,2.2681475036621093,0.3964,3.364609060668945,0.2254
30,2.1507048728942872,0.4234,3.3094854721069336,0.2406
31,1.9813449249267578,0.4629,3.5233510345458985,0.223
32,1.9064252487182618,0.4743,3.57376702041626,0.2354
33,1.7382401767730713,0.5161,3.6574050872802735,0.2244
34,1.5738448696136476,0.5577,3.600118012237549,0.2362
35,1.44140767326355,0.5984,3.7988405555725095,0.2322
36,1.3515180503845214,0.6243,4.017497831726074,0.2288
37,1.2455703145980834,0.6461,3.8849731018066405,0.2312
38,1.1199441192626953,0.6811,4.048652282714844,0.2306
39,0.9924420700073242,0.7216,4.1167942214965825,0.2204
40,0.8649615627288818,0.7596,4.066206661987304,0.2488
41,0.744468716430664,0.7912,4.335878172302246,0.239
42,0.714645767402649,0.8053,4.109404061126709,0.2388
43,0.707364323425293,0.8033,4.34520708770752,0.2414
44,0.5717487945556641,0.8458,4.11997329788208,0.2416
45,0.4625963839530945,0.882,4.2148159408569335,0.2418
46,0.4472978668212891,0.8793,4.15159164428711,0.2478
47,0.5701228592872619,0.8405,4.217716416168213,0.252
48,0.43332537908554075,0.8852,4.075565327453614,0.2446
49,0.3554023113250732,0.9095,4.13857986907959,0.254
50,0.3321127679824829,0.9144,4.135710539245605,0.2522
51,0.3143630259513855,0.9206,4.183861169433594,0.2524
52,0.2845982126235962,0.9302,4.059272018432617,0.2514
53,0.30346812753677366,0.9263,3.9967594573974607,0.2646
54,0.2300306956768036,0.9412,3.919293395996094,0.2768
55,0.21845673151016234,0.9473,4.0682272018432615,0.2614
56,0.264545072889328,0.9336,3.958806350708008,0.261
57,0.19303606972694398,0.9531,3.991877798461914,0.2576
58,0.2178377658843994,0.9459,4.015627592468261,0.2568
59,0.20984968547821045,0.9501,3.9840524154663086,0.2624
60,0.16915497069358826,0.9572,3.8901118339538576,0.2764
61,0.1378839509010315,0.9693,3.8068758529663085,0.2788
62,0.15939346113204955,0.9627,3.781513807678223,0.284
63,0.16301467623710633,0.9631,3.8184660720825194,0.2764
64,0.13169989008903504,0.9681,3.7506726501464844,0.282
65,0.13415130720734597,0.9702,3.758517894744873,0.2756
66,0.10596356735229492,0.9748,3.7709472076416017,0.2792
67,0.1192695327758789,0.9723,3.717577085876465,0.2782
68,0.11444957370758056,0.9736,3.6815643356323244,0.2852
69,0.10394525244832038,0.9766,3.640820749664307,0.2814
70,0.09252253975868226,0.9787,3.6453464279174805,0.2856
71,0.07905817861557007,0.9827,3.6468899246215822,0.287
72,0.08652694108486175,0.982,3.6453768539428713,0.2778
73,0.08705654528141021,0.981,3.6245427978515625,0.2854
74,0.08814084558486938,0.9801,3.6153779067993166,0.2878
75,0.09294940814971923,0.9795,3.554435181427002,0.2908
76,0.08032524126768112,0.9823,3.531311555480957,0.292
77,0.07006572425365448,0.9857,3.519509721374512,0.2968
78,0.07326660560369491,0.9825,3.4975386947631835,0.2954
79,0.06685746732950211,0.9852,3.4881773864746095,0.296
