epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.01,4.237648012797038,0.059108832465277775,3.936193549346924,0.0856
2,0.01,3.9756011967129177,0.09388096788194444,3.751572262573242,0.1148
3,0.01,3.871600724962023,0.11468856336805555,3.6114003326416015,0.1478
4,0.01,3.7536016988542347,0.13275844184027777,3.4924973945617674,0.1582
5,0.01,3.6654047995673285,0.1475351779513889,3.3418521018981933,0.1934
6,0.01,3.6216923109266492,0.15746330295138888,3.2486575439453125,0.2124
7,0.01,3.5609819424099394,0.16868279079861112,3.345099914550781,0.189
8,0.01,3.4861899261898466,0.18217354600694444,3.1264591644287107,0.2298
9,0.01,3.5166892099168567,0.17766961805555556,3.1134424892425536,0.2368
10,0.01,3.467413009940253,0.18527111545138888,3.0273786560058595,0.2518
11,0.01,3.41835361044142,0.1949462890625,3.0527591178894045,0.2406
12,0.01,3.3877521540323894,0.20224661458333335,2.9905030414581297,0.2642
13,0.01,3.3581868170844182,0.2099638454861111,3.1191876846313478,0.2382
14,0.01,3.3297191769917807,0.21072378472222222,2.882591798400879,0.281
15,0.01,3.324591285408868,0.21263582899305555,3.021086505126953,0.2498
16,0.01,3.2920077283223472,0.22043509114583335,2.9088438648223875,0.2828
17,0.01,3.3015088173336453,0.21940436197916666,2.967842904663086,0.2544
18,0.01,3.289942954126994,0.21892513020833335,2.8942323791503908,0.275
19,0.01,3.2829749827067056,0.2250599609375,2.8855991012573243,0.2692
20,0.01,3.284157390891181,0.22244246961805555,2.919050068664551,0.2714
21,0.01,3.254496555158827,0.22646942274305557,2.86987550201416,0.281
22,0.01,3.2637698354933,0.22338018663194445,2.814857820892334,0.29
23,0.01,3.2426029894510906,0.2314949435763889,2.8260532341003417,0.2932
24,0.01,3.2312407516055637,0.23342287326388889,2.7670889152526854,0.3012
25,0.01,3.229941752794054,0.2355500217013889,2.837539348602295,0.2876
26,0.01,3.2209921045515273,0.23682122395833333,2.7758977142333983,0.298
