epoch,train_loss,train_acc,val_loss,val_acc
1,4.621787704467773,0.0307,4.174966928863525,0.0588
2,4.009625640106202,0.0728,4.057223340606689,0.0944
3,3.77534084815979,0.1066,4.126193362426758,0.1232
4,3.5102086921691895,0.1465,3.6444264816284178,0.1608
5,3.2887557250976562,0.1922,3.5402497924804686,0.186
6,3.10234651222229,0.2302,3.302517286682129,0.2032
7,2.8225752490997316,0.2792,3.3966774490356446,0.2214
8,2.5290165477752686,0.3279,3.517519519805908,0.2184
9,2.2433554485321046,0.3932,3.2261140632629393,0.2506
10,1.943952117919922,0.4535,3.2343428436279296,0.2662
11,1.6455031833648681,0.525,3.4230453063964843,0.2614
12,1.4094704221725465,0.5841,3.7695609375,0.2564
13,1.0038703462600709,0.6995,4.436823499298096,0.2626
14,0.7294815302848816,0.7722,3.9098862854003906,0.2808
15,0.5585793195724488,0.8262,4.409252110290527,0.2714
16,0.4497758845329285,0.858,4.518833875274658,0.2774
17,0.37396637496948243,0.8815,4.6924516952514645,0.281
18,0.27158459491729736,0.9137,5.25645968170166,0.269
19,0.2723200089454651,0.912,5.33313815612793,0.2722
20,0.395049280166626,0.8752,4.8620013412475585,0.2938
21,0.1746806590437889,0.9457,5.2297102706909175,0.2748
22,0.12150344604253768,0.9641,5.379213429260254,0.283
23,0.09714647800922394,0.9721,5.47424172668457,0.2942
24,0.10324954555928707,0.9676,5.668150442504883,0.2722
25,0.11410413032770157,0.9629,5.898607878112793,0.2672
26,0.18916303114891053,0.9416,5.978130987548828,0.2678
27,0.17486231372356414,0.9443,5.704997373962402,0.2742
28,0.2662332338809967,0.9162,5.700944351196289,0.2662
29,0.12185080289840698,0.9612,5.659884402465821,0.2872
30,0.08452081862092019,0.9753,8.189029385375976,0.2714
31,0.09918501697182655,0.9701,5.440428973388672,0.3
32,0.06052211042046547,0.9822,8.048706135559081,0.2772
33,0.07020263557434082,0.9796,5.849910040283203,0.2904
34,0.05465748333632946,0.9843,6.388941532897949,0.2768
35,0.14671570307016374,0.9518,5.70826649017334,0.2856
36,0.1542141859292984,0.9507,5.683294857788086,0.2758
37,0.10930265441536903,0.9663,5.72453077545166,0.2858
38,0.05837791786491871,0.9829,5.971754029846191,0.2774
39,0.1403068940281868,0.956,6.03828759765625,0.262
40,0.07140824245512485,0.9785,5.920943258666992,0.2774
41,0.05976835911870003,0.9825,6.146073992919922,0.292
42,0.05655352671742439,0.9821,6.435085971069336,0.2738
43,0.08824578014090657,0.9729,7.036374928283691,0.2826
44,0.07366251193732024,0.9762,6.08288334197998,0.2816
45,0.07339865824580193,0.9774,6.413747988128662,0.2962
46,0.07452290427386761,0.9769,6.635433767700195,0.272
47,0.07477338039577007,0.9756,5.975463034057618,0.287
48,0.13032888200879097,0.9606,5.9784824111938475,0.284
49,0.08239147662520409,0.9731,6.203688372039795,0.2732
50,0.04825683187581599,0.9844,6.116460202789306,0.2978
