epoch,train_loss,train_acc,val_loss,val_acc
1,4.5733222427368165,0.0225,4.45523120803833,0.0264
2,4.454423889160156,0.023,4.3866212890625,0.0324
3,4.371451595306397,0.028,4.358012638092041,0.0402
4,4.287727180480957,0.039,4.270057707977295,0.0414
5,4.186023132324219,0.0455,4.265676438140869,0.0538
6,4.162650421142578,0.0475,4.2174787506103515,0.0518
7,4.0814600296020505,0.062,4.167201165771484,0.0538
8,4.087490657806397,0.06,4.12535177154541,0.0572
9,4.033648071289062,0.065,4.207299602508545,0.0632
10,3.969383571624756,0.0745,4.10071570892334,0.0774
11,3.930912422180176,0.086,4.133993014526367,0.0724
12,3.9230018825531006,0.095,4.163065413665771,0.0686
13,3.883025894165039,0.0865,4.070782234191895,0.0816
14,3.845374382019043,0.0865,4.159502517700195,0.0694
15,3.8102095127105713,0.094,4.064229370880127,0.08
16,3.723498046875,0.1105,4.080313995361328,0.0866
17,3.7288702964782714,0.1115,4.055228981018066,0.089
18,3.7747929153442383,0.101,4.023353281784058,0.0846
19,3.6405732669830324,0.1205,4.047420889663696,0.086
20,3.5586323375701903,0.1305,4.049304267883301,0.089
21,3.5721367454528807,0.146,4.048425466537475,0.0912
22,3.5828872051239014,0.1295,4.068873136138916,0.0886
23,3.479537078857422,0.1435,4.013573847961426,0.0944
24,3.4289027214050294,0.154,4.063999216842651,0.095
25,3.458882329940796,0.154,4.084472904205322,0.0888
26,3.4078512649536132,0.161,4.092691966247559,0.099
27,3.482458438873291,0.152,4.076787458801269,0.098
28,3.32893549156189,0.173,4.113854824829102,0.0952
29,3.307668514251709,0.1755,4.037784404754639,0.099
30,3.309071590423584,0.178,4.030482754516601,0.0994
31,3.2436464176177977,0.1865,4.123115714263916,0.1
32,3.176417594909668,0.2025,4.051447160339356,0.1074
33,3.132826118469238,0.214,4.127899171447754,0.1106
34,3.185180522918701,0.205,4.236266325378418,0.093
35,3.1270722923278806,0.197,4.1087459991455075,0.1066
36,3.0316695289611815,0.222,4.098598486328125,0.1032
37,3.00201371383667,0.2405,4.143394536590576,0.1008
38,2.9801357727050783,0.2455,4.107206851196289,0.1118
39,2.876385149002075,0.255,4.237191024780273,0.1006
40,2.894919403076172,0.2535,4.151215449523926,0.1076
41,2.8649359016418456,0.2705,4.190217207336426,0.1096
42,2.8716230621337893,0.267,4.304183624267578,0.106
43,2.852164985656738,0.2645,4.220768423461914,0.1042
44,2.8052618560791016,0.259,4.192632341003418,0.1074
45,2.641920024871826,0.2985,4.240928166198731,0.1184
46,2.5198058433532715,0.3285,4.249918391418457,0.1168
47,2.5399935874938966,0.3295,4.312823789978028,0.1144
48,2.4792225894927977,0.343,4.437303051757812,0.107
49,2.4334661254882812,0.339,4.408663433837891,0.1168
50,2.4659148750305175,0.3575,4.485538143157959,0.1038
51,2.3574306983947753,0.3685,4.43661630859375,0.1084
52,2.2868721809387207,0.383,4.554857276916504,0.0992
53,2.256859342575073,0.3885,4.495213689422608,0.112
54,2.2123039360046386,0.4,4.592144213867187,0.1106
55,2.1331014652252196,0.4165,4.604455500030517,0.1124
56,2.1064116764068603,0.43,4.765640586090088,0.1072
57,2.099901996612549,0.4235,4.721383707427979,0.111
58,2.0776460132598875,0.439,4.714818400573731,0.1132
59,1.9326536026000976,0.4595,4.707078797912597,0.1132
60,1.8369921798706055,0.5055,4.8468509300231934,0.1068
61,1.8848264865875244,0.4885,4.882938797760009,0.1086
62,1.8445546569824218,0.4895,4.951555809783936,0.1082
63,1.6980825939178468,0.55,4.8995409767150875,0.1096
64,1.670972749710083,0.56,5.012557919311523,0.1026
65,1.6630625038146973,0.5615,4.983770167541504,0.1076
66,1.5435596351623535,0.5815,4.985643852233887,0.1116
67,1.5329916458129882,0.588,5.05246137008667,0.1168
68,1.5055161209106445,0.6,5.089169309234619,0.1112
69,1.3713513946533202,0.642,5.209142182922363,0.1096
70,1.3883592376708984,0.6335,5.274152844238281,0.0992
71,1.3041029043197632,0.644,5.233935037231445,0.1194
72,1.2423634405136108,0.6685,5.281603917694092,0.1082
73,1.2345257186889649,0.683,5.3379271110534665,0.1074
74,1.147058452129364,0.69,5.366541695404052,0.111
75,1.2040904550552367,0.6915,5.515184988403321,0.11
76,1.163681354045868,0.71,5.37043496170044,0.1072
77,1.2104225845336913,0.6885,5.518528321838379,0.1078
78,1.162991545677185,0.7095,5.42894029083252,0.1136
79,1.0484653420448302,0.7335,5.473737895202636,0.1148
80,0.9323550062179565,0.758,5.575215148162842,0.1076
81,0.9412238454818725,0.7545,5.555868081665039,0.1138
82,0.9739346799850463,0.7415,5.760463278198242,0.1126
83,0.9112246446609497,0.761,5.758237901306153,0.1116
84,0.9727663307189941,0.739,5.7088161499023435,0.1096
85,0.9867809038162232,0.7355,5.693763630676269,0.1168
86,0.9920093688964844,0.758,5.758098136901856,0.1116
87,0.9568842744827271,0.7565,5.770028503417969,0.119
88,0.9505022382736206,0.763,5.611443408203125,0.1232
89,0.8575364961624146,0.789,5.872082406616211,0.1044
90,0.8110470724105835,0.7925,5.830993746948242,0.1048
91,0.8535625305175781,0.7855,5.710254583740235,0.1118
92,0.8684389600753785,0.7835,5.819400389862061,0.1028
93,0.8275431351661682,0.7895,5.812319229125976,0.113
94,0.8020417881011963,0.805,5.922557012939453,0.1106
95,0.7941353549957275,0.7975,5.824661361694336,0.1182
96,0.717314106464386,0.821,5.922157521057129,0.1098
97,0.7303174364566803,0.813,5.886473138427735,0.112
98,0.6713314900398254,0.829,6.014887728881836,0.1096
99,0.7979624230861664,0.802,5.93748469543457,0.1138
100,0.6744459445476532,0.825,5.964903483581543,0.1122
